"180","0","Jimmy this ready FOR review/COMMIT? IF so please 'submit'. Thanks.","2","-1","Jimmy[0] this[0] ready[0] for[0] review/commit[0] [[sentence=-1,1=word max, 1-5]] ID[0] so[0] please[1] 'submit'[0] [[Sentence=-1,2=word max, 1-5]] Thanks[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]] ","OK","english","0.232977","positive"
"409","0","I'm backporting this to 3.4 and 3.3 branches. --Michi","1","-1"," I'm[0] backporting[0] this[0] to[0] 3[0] .4[0] and[0] 3[0] .3[0] branches[0] [[Sentence=-1,1=word max, 1-5]] Michi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]","OK","english","","neutral"
"611","-1","Bug Flavio more? Seriously, discuss with Flavio and come up with a patch & test that is deterministic. Another option would be to refactor to allow the code in question to be tested as a true unit test, rather than as a system test (we need to work on that in general in ZK). Mockito?","2","-2"," Bug[-1] Flavio[0] more[0] [[Sentence=-2,1=word max, 1-5]] Seriously[0] discuss[0] with[0] Flavio[0] and[0] come[0] up[0] with[0] a[0] patch[0] &[0] test[0] that[0] is[0] deterministic[0] [[Sentence=-1,1=word max, 1-5]] Another[0] option[0] would[0] be[0] to[0] refactor[0] to[0] allow[0] the[0] code[0] in[0] question[0] to[0] be[0] tested[0] as[0] a[0] true[1] unit[0] test[0] rather[0] than[0] as[0] a[0] system[0] test[0] we[0] need[0] to[0] work[0] on[0] that[0] in[0] general[0] in[0] ZK[0] [[Sentence=-1,2=word max, 1-5]] Mockito[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]","OK","english","-0.505647","negative"
"644","0","Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest, use the same 'for ( .. try { break } catch { } )' pattern in testFollowersStartAfterLeaders as in testSessionMove. (Eugene Koontz via mahadev) mahadev : http://svn.apache.org/viewcvs.cgi/?root Apache-SVN&view rev&rev 1157690 Files : /zookeeper/trunk/src/java/test/org/apache/zookeeper/test/QuorumTest.java /zookeeper/trunk/CHANGES.txt","1","-1"," Integrated[0] in[0] ZooKeeper[0] trunk[0] #1266[0] See[0] https[0] ://builds[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/job/ZooKeeper[0] trunk/1266/[0] ZOOKEEPER[0] -1104[0] [[Sentence=-1,1=word max, 1-5]] CLONE[0] In[0] QuorumTest[0] use[0] the[0] same[0] 'for[0] [[Sentence=-1,1=word max, 1-5]] try[0] {[0] break[0] }[0] catch[0] {[0] }[0] '[0] pattern[0] in[0] testFollowersStartAfterLeaders[0] as[0] in[0] testSessionMove[0] [[Sentence=-1,1=word max, 1-5]] Eugene[0] Koontz[0] via[0] mahadev[0] mahadev[0] http[0] ://svn[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/viewcvs[0] [[Sentence=-1,1=word max, 1-5]] cgi/[0] [[Sentence=-1,1=word max, 1-5]] root[0] Apache[0] SVN&view[0] rev&rev[0] 1157690[0] Files[0] /zookeeper/trunk/src/java/test/org/apache/zookeeper/test/QuorumTest[0] [[Sentence=-1,1=word max, 1-5]] java[0] /zookeeper/trunk/CHANGES[0] [[Sentence=-1,1=word max, 1-5]] txt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]","OK","english","-0.0426819","negative"
"722","-1","Out of curiosity, could we save a FOLLOWING notification as our lastMessage then, even if we don't send it? That would give you the 'current' state more accurately than a stale LOOKING notification and it seems like it could solve this particular problem. We could, but that wouldn't give an accurate state as well. A peer might be in the LOOKING state (next FLE round) while the lastMessage gets sent. There will be race conditions. In my opinion, a better way of doing this is to send the current state instead of lastMessage. In which case, I agree with Flavio that sending the final notifications won't be necessary. This will also reduce the number of notifications exchanged.","2","-2"," Out[0] of[0] curiosity[0] could[0] we[0] save[1] a[0] FOLLOWING[0] notification[0] as[0] our[0] lastMessage[0] then[0] even[0] if[0] we[0] don't[0] send[0] it[0] [[Sentence=-1,2=word max, 1-5]] That[0] would[0] give[0] you[0] the[0] 'current'[0] state[0] more[0] accurately[0] than[0] a[0] stale[-1] LOOKING[0] notification[0] and[0] it[0] seems[0] like[1] it[0] could[0] solve[0] this[0] particular[0] problem[-1] [[Sentence=-2,2=word max, 1-5]] We[0] could[0] but[0] that[0] wouldn't[0] give[0] an[0] accurate[0] state[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]] A[0] peer[0] might[0] be[0] in[0] the[0] LOOKING[0] state[0] next[0] FLE[0] round[0] while[0] the[0] lastMessage[0] gets[0] sent[0] [[Sentence=-1,1=word max, 1-5]] There[0] will[0] be[0] race[0] conditions[0] [[Sentence=-1,1=word max, 1-5]] In[0] my[0] opinion[0] a[0] better[0] way[0] of[0] doing[0] this[0] is[0] to[0] send[0] the[0] current[0] state[0] instead[0] of[0] lastMessage[0] [[Sentence=-1,1=word max, 1-5]] In[0] which[0] case[0] I[0] agree[0] with[0] Flavio[0] that[0] sending[0] the[0] final[0] notifications[0] won't[0] be[0] necessary[0] [[Sentence=-1,1=word max, 1-5]] This[0] will[0] also[0] reduce[0] the[0] number[0] of[0] notifications[0] exchanged[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]","OK","english","-0.750369","negative"
"1671","0","Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/)","1","-1"," Integrated[0] in[0] ZooKeeper[0] trunk[0] #271[0] See[0] http[0] ://hudson[0] [[Sentence=-1,1=word max, 1-5]] zones[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/hudson/job/ZooKeeper[0] trunk/271/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]","OK","english","0.271844","positive"
"1725","0","3.0.0 has been released, closing issues.","1","-1"," 3[0] .0[0] .0[0] has[0] been[0] released[0] closing[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]","OK","english","-0.221983","negative"
"2091","0","Edited these issues to set the fix version.","1","-1"," Edited[0] these[0] issues[0] to[0] set[0] the[0] fix[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]","OK","english","-0.232574","negative"
"2685","0","Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root Apache-SVN&view rev&rev 1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java","3","-1"," Integrated[0] in[0] Hadoop[0] Mapreduce[0] trunk[0] #1386[0] See[0] https[0] ://builds[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/job/Hadoop[0] Mapreduce[0] trunk/1386/[0] YARN[0] -209[0] [[Sentence=-1,1=word max, 1-5]] Fix[0] CapacityScheduler[0] to[0] trigger[0] application[0] activation[0] when[0] the[0] cluster[0] capacity[0] changes[0] [[Sentence=-1,1=word max, 1-5]] Contributed[0] by[0] Zhijie[0] Shen[0] [[Sentence=-1,1=word max, 1-5]] Revision[0] 1461773[0] Result[0] SUCCESS[2] vinodkv[0] http[0] ://svn[0] [[Sentence=-1,3=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/viewcvs[0] [[Sentence=-1,1=word max, 1-5]] cgi/[0] [[Sentence=-1,1=word max, 1-5]] root[0] Apache[0] SVN&view[0] rev&rev[0] 1461773[0] Files[0] /hadoop/common/trunk/hadoop[0] yarn[0] project/CHANGES[0] [[Sentence=-1,1=word max, 1-5]] txt[0] /hadoop/common/trunk/hadoop[0] yarn[0] project/hadoop[0] yarn/hadoop[0] yarn[0] server/hadoop[0] yarn[0] server[0] resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue[0] [[Sentence=-1,1=word max, 1-5]] java[0] /hadoop/common/trunk/hadoop[0] yarn[0] project/hadoop[0] yarn/hadoop[0] yarn[0] server/hadoop[0] yarn[0] server[0] resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM[0] [[Sentence=-1,1=word max, 1-5]] java[0] /hadoop/common/trunk/hadoop[0] yarn[0] project/hadoop[0] yarn/hadoop[0] yarn[0] server/hadoop[0] yarn[0] server[0] resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue[0] [[Sentence=-1,1=word max, 1-5]] java[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]","OK","english","0.210536","positive"
"2987","1","Thanks for the patch","2","-1"," Thanks[1] for[0] the[0] patch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]","OK","english","0.624589","positive"
